cover_pic,link,title,rating,quote
https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1280323646.jpg,https://movie.douban.com/subject/1299398/,大话西游之月光宝盒,8.9,旷古烁今。
https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2189265085.jpg,https://movie.douban.com/subject/1293839/,罗马假日,8.9,爱情哪怕只有一天。
https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1808872109.jpg,https://movie.douban.com/subject/1900841/,窃听风暴,9.1,别样人生。
https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792443418.jpg,https://movie.douban.com/subject/1293350/,两杆大烟枪,9.1,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792238287.jpg,https://movie.douban.com/subject/1292224/,飞越疯人院,9.0,自由万岁。
https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2457983084.jpg,https://movie.douban.com/subject/26387939/,摔跤吧！爸爸,9.1,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
https://img1.doubanio.com/view/photo/s_ratio_poster/public/p925123037.jpg,https://movie.douban.com/subject/1298624/,闻香识女人,9.0,史上最美的探戈。
https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2174346180.jpg,https://movie.douban.com/subject/1308807/,哈尔的移动城堡,8.9,带着心爱的人在天空飞翔。
https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2158166535.jpg,https://movie.douban.com/subject/21937445/,辩护人,9.2,电影的现实意义大过电影本身。
https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910824340.jpg,https://movie.douban.com/subject/1291548/,死亡诗社,9.0,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1465235231.jpg,https://movie.douban.com/subject/1309046/,V字仇杀队,8.8,一张面具背后的理想与革命。
https://img3.doubanio.com/view/photo/s_ratio_poster/public/p455222172.jpg,https://movie.douban.com/subject/3442220/,海豚湾,9.3,海豚的微笑，是世界上最高明的伪装。
https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2194138787.jpg,https://movie.douban.com/subject/1299131/,教父2,9.1,优雅的孤独。
https://img3.doubanio.com/view/photo/s_ratio_poster/public/p909265336.jpg,https://movie.douban.com/subject/1291572/,指环王2：双塔奇兵,9.0,承前启后的史诗篇章。
https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1665997400.jpg,https://movie.douban.com/subject/1306029/,美丽心灵,8.9,爱是一切逻辑和原由。
https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1354436051.jpg,https://movie.douban.com/subject/1291571/,指环王1：魔戒再现,8.9,传说的开始。
https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910899751.jpg,https://movie.douban.com/subject/1291818/,饮食男女,9.1,人生不能像做菜，把所有的料都准备好了才下锅。
https://img1.doubanio.com/view/photo/s_ratio_poster/public/p449897379.jpg,https://movie.douban.com/subject/1292220/,情书,8.8,暗恋的极致。
https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2118532944.jpg,https://movie.douban.com/subject/21937452/,素媛,9.1,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
https://img1.doubanio.com/view/photo/s_ratio_poster/public/p726659067.jpg,https://movie.douban.com/subject/1301753/,狮子王,8.9,动物版《哈姆雷特》。
https://img1.doubanio.com/view/photo/s_ratio_poster/public/p477229647.jpg,https://movie.douban.com/subject/1292262/,美国往事,9.1,往事如烟，无处祭奠。
https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792484461.jpg,https://movie.douban.com/subject/1296736/,钢琴家,9.0,音乐能化解仇恨。
https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2165511465.jpg,https://movie.douban.com/subject/1303021/,小鞋子,9.2,奔跑的孩子是天使。
https://img3.doubanio.com/view/photo/s_ratio_poster/public/p457631605.jpg,https://movie.douban.com/subject/1292223/,七宗罪,8.8,警察抓小偷，老鼠玩死猫。
https://img1.doubanio.com/view/photo/s_ratio_poster/public/p453723669.jpg,https://movie.douban.com/subject/1787291/,被嫌弃的松子的一生,8.9,以戏谑来戏谑戏谑。
https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480383375.jpg,https://movie.douban.com/subject/1780330/,致命魔术,8.8,孪生蝙蝠侠大战克隆金刚狼。
https://img3.doubanio.com/view/photo/s_ratio_poster/public/p803896904.jpg,https://movie.douban.com/subject/1292215/,天使爱美丽,8.7,法式小清新。 
https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2192535722.jpg,https://movie.douban.com/subject/1485260/,本杰明·巴顿奇事,8.8,在时间之河里感受溺水之苦。
https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792400696.jpg,https://movie.douban.com/subject/1292402/,西西里的美丽传说,8.8,美丽无罪。
https://img1.doubanio.com/view/photo/s_ratio_poster/public/p453788577.jpg,https://movie.douban.com/subject/1294408/,音乐之声,8.9,用音乐化解仇恨，让歌声串起美好。
https://img1.doubanio.com/view/photo/s_ratio_poster/public/p451926968.jpg,https://movie.douban.com/subject/1291843/,黑客帝国,8.9,视觉革命。
https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1512562287.jpg,https://movie.douban.com/subject/3742360/,让子弹飞,8.7,你给我翻译翻译，神马叫做TMD的惊喜。
